clique_edge,subtree_size,complement_size,hit_rate,direction
h_7-Tor,1,37,99.3827,upward
h_7-Ame,1,37,99.3827,upward
h_6-h_7,2,36,97.9938,upward
h_8-Tax,1,37,99.3827,upward
h_8-Pse,1,37,99.2284,upward
h_6-h_8,2,36,97.3765,upward
h_5-h_6,4,34,91.9753,upward
h_5-Cep,1,37,99.2284,upward
h_4-h_5,5,33,88.5802,upward
h_11-Fok,1,37,99.3827,upward
h_11-Pla,1,37,99.3827,upward
h_10-h_11,2,36,97.8395,upward
h_10-Met,1,37,99.2284,upward
h_9-h_10,3,35,94.2901,upward
h_9-Cun,1,37,99.3827,upward
h_4-h_9,4,34,91.5123,upward
h_3-h_4,9,29,76.2346,upward
h_3-Sci,1,37,99.2284,upward
h_2-h_3,10,28,71.4506,upward
h_16-Cga,1,37,99.2284,upward
h_16-Paq,1,37,99.2284,upward
h_15-h_16,2,36,96.7593,upward
h_15-Lja,1,37,99.2284,upward
h_14-h_15,3,35,88.5802,upward
h_21-Mac,1,37,99.3827,upward
h_21-Pda,1,37,99.3827,upward
h_20-h_21,2,36,97.5309,upward
h_22-Bdi,1,37,99.2284,upward
h_22-Osa,1,37,99.2284,upward
h_20-h_22,2,36,96.6049,upward
h_19-h_20,4,34,79.9383,upward
h_28-Ath,1,37,99.3827,upward
h_28-Ptr,1,37,99.3827,upward
h_27-h_28,2,36,97.5309,upward
h_27-Gma,1,37,99.3827,upward
h_26-h_27,3,35,90.5864,upward
h_26-Sly,1,37,99.2284,upward
h_25-h_26,4,34,78.0864,upward
h_25-Vvi,1,37,99.2284,upward
h_24-h_25,5,33,66.358,upward
h_24-Aco,1,37,99.3827,upward
h_23-h_24,6,32,55.4012,upward
h_23-Ltu,1,37,99.3827,upward
h_19-h_23,7,31,47.2222,upward
h_18-h_19,11,27,25.6173,upward
h_18-Nad,1,37,99.3827,upward
h_17-h_18,12,26,23.6111,upward
h_17-Atr,1,37,99.2284,upward
h_14-h_17,13,25,21.142,upward
h_13-h_14,16,22,9.72222,upward
h_30-Cyc,1,37,99.2284,upward
h_30-Zam,1,37,99.3827,upward
h_29-h_30,2,36,96.9136,upward
h_29-Gin,1,37,99.3827,upward
h_13-h_29,3,35,92.5926,upward
h_12-h_13,19,19,6.94444,upward
h_33-Wel,1,37,99.2284,upward
h_33-Gne,1,37,99.3827,upward
h_32-h_33,2,36,96.9136,upward
h_32-Eph,1,37,99.3827,upward
h_31-h_32,3,35,90.4321,upward
h_35-smi,1,37,99.3827,upward
h_35-Pin,1,37,99.3827,upward
h_34-h_35,2,36,98.1481,upward
h_34-Abi,1,37,99.3827,upward
h_31-h_34,3,35,95.216,upward
h_12-h_31,6,32,69.9074,upward
h_2-h_12,25,13,2.46914,upward
h_1-h_2,35,3,0.462963,upward
h_1-Ara,1,37,99.3827,upward
h_0-h_1,36,2,0.154321,upward
h_0-Pod,1,37,99.3827,upward
h_0-Pod,1,37,0.154321,downward
h_0-h_1,36,2,97.6852,downward
h_1-Ara,1,37,0.154321,downward
h_1-h_2,35,3,95.216,downward
h_2-h_12,25,13,59.7222,downward
h_12-h_31,6,32,3.08642,downward
h_31-h_34,3,35,0.617284,downward
h_34-Abi,1,37,0.154321,downward
h_34-h_35,2,36,0.154321,downward
h_35-Pin,1,37,0,downward
h_35-smi,1,37,0.154321,downward
h_31-h_32,3,35,2.31481,downward
h_32-Eph,1,37,0.154321,downward
h_32-h_33,2,36,1.54321,downward
h_33-Gne,1,37,1.08025,downward
h_33-Wel,1,37,0.308642,downward
h_12-h_13,19,19,31.1728,downward
h_13-h_29,3,35,0.308642,downward
h_29-Gin,1,37,0,downward
h_29-h_30,2,36,0.308642,downward
h_30-Zam,1,37,0,downward
h_30-Cyc,1,37,0.308642,downward
h_13-h_14,16,22,25.1543,downward
h_14-h_17,13,25,11.4198,downward
h_17-Atr,1,37,0.154321,downward
h_17-h_18,12,26,8.33333,downward
h_18-Nad,1,37,0.154321,downward
h_18-h_19,11,27,6.94444,downward
h_19-h_23,7,31,2.9321,downward
h_23-Ltu,1,37,0,downward
h_23-h_24,6,32,2.9321,downward
h_24-Aco,1,37,0.154321,downward
h_24-h_25,5,33,2.62346,downward
h_25-Vvi,1,37,0.154321,downward
h_25-h_26,4,34,2.31481,downward
h_26-Sly,1,37,0.462963,downward
h_26-h_27,3,35,1.38889,downward
h_27-Gma,1,37,0.617284,downward
h_27-h_28,2,36,0.617284,downward
h_28-Ptr,1,37,0.462963,downward
h_28-Ath,1,37,0.154321,downward
h_19-h_20,4,34,2.31481,downward
h_20-h_22,2,36,1.23457,downward
h_22-Osa,1,37,0.617284,downward
h_22-Bdi,1,37,0.462963,downward
h_20-h_21,2,36,0.771605,downward
h_21-Pda,1,37,0.308642,downward
h_21-Mac,1,37,0.308642,downward
h_14-h_15,3,35,4.32099,downward
h_15-Lja,1,37,1.38889,downward
h_15-h_16,2,36,2.77778,downward
h_16-Paq,1,37,0.925926,downward
h_16-Cga,1,37,0.617284,downward
h_2-h_3,10,28,1.85185,downward
h_3-Sci,1,37,0.154321,downward
h_3-h_4,9,29,1.69753,downward
h_4-h_9,4,34,0.617284,downward
h_9-Cun,1,37,0.154321,downward
h_9-h_10,3,35,0.462963,downward
h_10-Met,1,37,0,downward
h_10-h_11,2,36,0.462963,downward
h_11-Pla,1,37,0.308642,downward
h_11-Fok,1,37,0,downward
h_4-h_5,5,33,0.771605,downward
h_5-Cep,1,37,0.154321,downward
h_5-h_6,4,34,0.617284,downward
h_6-h_8,2,36,0.462963,downward
h_8-Pse,1,37,0.308642,downward
h_8-Tax,1,37,0.154321,downward
h_6-h_7,2,36,0.154321,downward
h_7-Ame,1,37,0,downward
h_7-Tor,1,37,0.154321,downward
